issue_id,dealer_id,sales_person_id,visit_id,issue_type,priority,subject,description,order_id,product_id,status,assigned_to,resolution,resolved_at,created_at,updated_at
101f6c5e-a66d-401f-96e2-d473cc2f6b2b,fd656c0c-f9a1-4da7-a4c7-8f457f619af2,92522288-0375-4a48-a9b2-822815269255,,QUALITY,MEDIUM,Different color powder,Issue reported by DLR017: Different color powder,0022aa1d-620f-4ee2-b374-0688559715ff,691d2da3-3a95-42f4-af6a-57c1f73652fa,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2024-07-02,2024-06-26,2024-07-02
1d236557-ac6f-4b03-85ba-10e6c2511ff5,7178f55e-6bbc-4f51-8768-e2277e170ca5,92522288-0375-4a48-a9b2-822815269255,,SERVICE,CRITICAL,No response on complaint,Issue reported by DLR012: No response on complaint,,,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2024-11-10,2024-11-10,2024-11-10
ed1bee9a-e18f-4076-893d-0b38683193a7,aa142594-8770-46cb-bf05-77eb4736c7e4,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,,DELIVERY,MEDIUM,Wrong delivery address,Issue reported by DLR042: Wrong delivery address,35108805-4f17-46b3-8adc-3a93d1c602e0,,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2024-05-06,2024-04-23,2024-05-06
cc8b9d5b-4c70-4a3d-a561-d9aa86ddea0d,4260ce4c-5209-476c-afb1-655f9e02133d,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,e5e5956e-7938-45d0-9a40-1d2b3e62d0aa,DELIVERY,MEDIUM,Wrong delivery address,Issue reported by DLR028: Wrong delivery address,1eadc484-e4d7-418b-ab75-4449fcb4a11f,,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2024-11-20,2024-11-11,2024-11-20
d27a593d-7c9a-4d81-966e-086dcd30e85f,e239d371-6d2f-47bc-98f7-f79cfbbfb521,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,c0059c65-92c1-487d-b4b2-8d278b257309,SERVICE,LOW,Sales rep not visiting,Issue reported by DLR032: Sales rep not visiting,,,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2024-06-17,2024-06-11,2024-06-17
f698c35c-a7e1-429b-b29e-44dad46927f6,672f6872-5e9a-4153-9cf7-9bad9ee0eff3,92522288-0375-4a48-a9b2-822815269255,,SERVICE,MEDIUM,Sales rep not visiting,Issue reported by DLR011: Sales rep not visiting,,,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2024-11-03,2024-11-03,2024-11-03
86d80319-7507-4156-af10-bfa066a14193,fd656c0c-f9a1-4da7-a4c7-8f457f619af2,92522288-0375-4a48-a9b2-822815269255,f5c35fe8-8be7-4327-9cad-eccec49c9fa0,PRICING,LOW,Invoice amount mismatch,Issue reported by DLR017: Invoice amount mismatch,,,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2024-04-26,2024-04-26,2024-04-26
cb33b255-61a1-4f65-993e-e05839da7b2d,4260ce4c-5209-476c-afb1-655f9e02133d,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,6157fa5e-ecf1-47c2-85f5-58dee3da42d1,QUALITY,MEDIUM,Damp packets in batch,Issue reported by DLR028: Damp packets in batch,9956a400-119e-4dd5-ac90-5aada9dad39e,691d2da3-3a95-42f4-af6a-57c1f73652fa,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2024-12-22,2024-12-09,2024-12-22
07ec0158-ae92-4552-9405-a12975e46b64,9198bfa1-1b5b-4a67-a310-ac2db2875058,92522288-0375-4a48-a9b2-822815269255,814f741e-55b3-42e2-a591-39d1b3396c72,DELIVERY,MEDIUM,Partial delivery received,Issue reported by DLR010: Partial delivery received,fdfd8ce2-0549-4241-b41d-2a627b0e77df,,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2024-05-08,2024-05-06,2024-05-08
ac35f7c1-baeb-4046-8646-1f058472db74,2566205d-339c-4157-a1f7-c907482ec0a3,0de98ea1-d767-49c6-97d0-d792e515bae7,dd5ce6d5-af6b-4c21-a3a7-1cb19017f8cc,DELIVERY,MEDIUM,Partial delivery received,Issue reported by DLR022: Partial delivery received,9388bcb8-baa9-40e1-a905-e8335781107a,,CLOSED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2025-01-18,2025-01-13,2025-01-18
127a2b29-b22e-4478-b905-1e9828803741,ebecfffa-f6cf-46ab-98b0-2cba276c61e7,fe0888ac-3ea5-4fba-846c-2294c69f1659,269739ec-3b8e-4bbd-86e6-91275972afdb,DELIVERY,MEDIUM,Missing items in delivery,Issue reported by DLR009: Missing items in delivery,4e37b4e9-bcde-47c8-8e1d-622c6c7ad2e3,,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2025-02-21,2025-02-12,2025-02-21
0e1c33cd-44a4-4d21-b31c-912d8d2222b1,6768cbbe-636f-40da-9bdd-6bfbbfd44019,fe0888ac-3ea5-4fba-846c-2294c69f1659,ffcdf001-bf50-4814-9a3b-7a69ed94ba97,QUALITY,MEDIUM,Damp packets in batch,Issue reported by DLR006: Damp packets in batch,dabac6a0-26ba-4066-b7cf-b4d6c1724fb1,17b438d3-0eb9-4489-843d-67569ab2e171,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2024-10-03,2024-09-27,2024-10-03
3538b69f-58f4-430e-9b04-121b53ffc979,587fe5f4-a612-4ee8-8f98-b53fbc7c5b51,0de98ea1-d767-49c6-97d0-d792e515bae7,ed988d09-83f9-4592-a117-b49fd06b5537,DELIVERY,MEDIUM,Late delivery - Order ORD-2024-0617,Issue reported by DLR021: Late delivery - Order ORD-2024-0617,79363f38-da5f-4177-b62f-742b025a11e4,,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2025-02-06,2025-01-28,2025-02-06
952a5888-ffc8-402a-b2a2-f81cb9d562b5,9580c8f6-6df1-4dd7-b0aa-6bfc58b89c5c,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,75e3598d-f4ff-47fb-95fe-def301fe9f19,DELIVERY,MEDIUM,Partial delivery received,Issue reported by DLR036: Partial delivery received,da874fbb-d065-4859-b2c8-14b0241f2584,,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2024-04-28,2024-04-26,2024-04-28
c83dc816-cf2c-4c73-91fc-11e39d8fa034,7178f55e-6bbc-4f51-8768-e2277e170ca5,92522288-0375-4a48-a9b2-822815269255,5a1ed6ba-7329-4c4e-8d9d-4165f7a4bd25,DELIVERY,LOW,Wrong delivery address,Issue reported by DLR012: Wrong delivery address,1b5c55aa-ea65-410c-b839-d61a98bc7cf5,,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2024-06-17,2024-06-09,2024-06-17
10155bb8-4227-4724-b391-318e8303cdac,2505c043-13e5-425f-a34f-ad854ef43c6b,fe0888ac-3ea5-4fba-846c-2294c69f1659,,DELIVERY,CRITICAL,Missing items in delivery,Issue reported by DLR004: Missing items in delivery,962a657e-3cfd-46af-bf26-8db1d2a92ee2,,OPEN,c361d450-2f4c-46b8-a441-3f819e888d3b,,,2024-09-17,2024-09-17
5c69cb56-2c93-46c2-9183-4c29bb8b86fe,115804b5-d9c6-401e-a450-d16354ecaf2d,0de98ea1-d767-49c6-97d0-d792e515bae7,3ebbe880-88a3-4d02-8b11-8816cbb00911,DELIVERY,HIGH,Partial delivery received,Issue reported by DLR023: Partial delivery received,b6c3e1cf-906d-47b0-be47-a323113b2712,,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2025-02-08,2025-01-29,2025-02-08
4e37cf2c-9e90-48b5-8123-750758c8aacf,2505c043-13e5-425f-a34f-ad854ef43c6b,fe0888ac-3ea5-4fba-846c-2294c69f1659,a38676a4-8062-4c3b-8622-863e7eac6439,SERVICE,MEDIUM,Delayed replacement,Issue reported by DLR004: Delayed replacement,,,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2025-01-09,2024-12-30,2025-01-09
4562e3ea-df53-45fd-be52-0751c6ad155e,2505c043-13e5-425f-a34f-ad854ef43c6b,fe0888ac-3ea5-4fba-846c-2294c69f1659,ac418338-d182-428f-82b7-d9c2dca20a1a,PRICING,LOW,Discount not applied,Issue reported by DLR004: Discount not applied,,,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2024-03-15,2024-03-02,2024-03-15
1a997330-5eb3-4a68-a11c-a7a81e7cdc4f,256796f6-3eaf-4043-91bf-faa41d78325a,0de98ea1-d767-49c6-97d0-d792e515bae7,,QUALITY,LOW,Different color powder,Issue reported by DLR026: Different color powder,185153e1-90c4-406e-a636-df6ba14c3bd8,691d2da3-3a95-42f4-af6a-57c1f73652fa,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2024-08-01,2024-07-20,2024-08-01
cd0e22c8-d776-41cf-b3a7-ad700ede38f0,2566205d-339c-4157-a1f7-c907482ec0a3,0de98ea1-d767-49c6-97d0-d792e515bae7,,SERVICE,MEDIUM,No response on complaint,Issue reported by DLR022: No response on complaint,,,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2024-06-05,2024-05-31,2024-06-05
6646f129-1762-4699-affe-1d4be2ae2234,cbdda1a1-3a43-475c-a2f8-6dce82d99f2f,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,64137c8b-f6ad-4944-a2f3-0d65333df5c0,QUALITY,MEDIUM,Damp packets in batch,Issue reported by DLR041: Damp packets in batch,2d590c06-5cc2-4bbc-ba5c-afe368e946f7,72f40484-f49b-4f82-9a99-d22ec799c523,IN_PROGRESS,c361d450-2f4c-46b8-a441-3f819e888d3b,,,2024-05-11,2024-05-11
f888175b-4d81-4b82-bbe5-ec246a9942bd,d175149d-f407-43df-900f-8f974386b491,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,22343497-5476-4d48-bd49-56ebc1d0d5af,PRICING,HIGH,Rate card outdated,Issue reported by DLR029: Rate card outdated,,,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2024-07-02,2024-06-21,2024-07-02
8a38586b-75dd-43f5-b9cc-4ffa506f431d,de4699bf-d9e7-45b9-9875-43405fdc2981,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,d00cd7c1-d70f-4d83-83de-b3fd08f1b285,DELIVERY,LOW,Missing items in delivery,Issue reported by DLR037: Missing items in delivery,651192eb-c1b8-4733-828f-9bba46799b8d,,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2024-12-15,2024-12-14,2024-12-15
511bba0c-f1f2-4896-95ee-ff9867cafd4a,a1165b38-7316-4cb3-85a9-b3308a230b7c,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,a9270fcb-3687-4696-a926-00efc9f07e39,QUALITY,LOW,Damp packets in batch,Issue reported by DLR043: Damp packets in batch,e01c8d3b-836e-462b-8677-99d232ddc01a,691d2da3-3a95-42f4-af6a-57c1f73652fa,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2024-05-08,2024-05-02,2024-05-08
f422d2f5-f3d0-414b-857e-f9c825f06c2b,22e73046-8fe1-47f8-b7e2-c67e1cc1a458,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,bcff7786-89e1-447d-9e60-f556549ed918,PRICING,LOW,Invoice amount mismatch,Issue reported by DLR031: Invoice amount mismatch,,,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2024-04-11,2024-03-31,2024-04-11
ce7cf3d5-5c8e-423d-a328-51755e70ebb6,412af8cf-f49a-46c9-86fd-ee8fc3a1512e,0de98ea1-d767-49c6-97d0-d792e515bae7,d66b6d1f-5906-4e97-bc81-83ddaf42d932,QUALITY,MEDIUM,Seal broken on packets,Issue reported by DLR027: Seal broken on packets,22766471-7ef3-49f5-9a9e-095fd5731d1c,17b438d3-0eb9-4489-843d-67569ab2e171,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2025-02-09,2025-02-02,2025-02-09
0c5b705f-be96-4f2f-aa7d-454bdfc93d8f,587fe5f4-a612-4ee8-8f98-b53fbc7c5b51,0de98ea1-d767-49c6-97d0-d792e515bae7,,QUALITY,MEDIUM,Damaged packaging,Issue reported by DLR021: Damaged packaging,5947fa46-94b5-47f8-a85d-94a5797cad0e,691d2da3-3a95-42f4-af6a-57c1f73652fa,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2024-11-02,2024-10-21,2024-11-02
475ab12b-6281-47ce-8fc4-3fe45da982af,76fd9001-d837-4dd4-9c5d-fae3eabe879a,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,b667c46e-6955-440f-bde3-d6c484610be4,PRICING,MEDIUM,Invoice amount mismatch,Issue reported by DLR035: Invoice amount mismatch,,,RESOLVED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2025-02-03,2025-01-22,2025-02-03
763dfa83-7385-4f04-a6ac-09e3ae46621e,766f55c6-bd8d-414d-b481-b315180fd94a,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,54c88a94-d067-4eb2-80b8-1f9fdaa9222e,SERVICE,LOW,Rude behavior by delivery person,Issue reported by DLR040: Rude behavior by delivery person,,,CLOSED,c361d450-2f4c-46b8-a441-3f819e888d3b,Issue resolved. Replacement/credit provided.,2024-05-25,2024-05-25,2024-05-25
