payment_id,payment_number,dealer_id,invoice_id,amount,payment_date,payment_mode,reference_number,bank_name,collected_by,visit_id,status,notes,created_at,updated_at
5e3d74d1-cfa2-45dd-97f5-9894618310d4,PAY-2024-0018,115804b5-d9c6-401e-a450-d16354ecaf2d,c12aadd2-666d-48fa-8be7-3e6ba65d8b33,0.0,2024-06-28,UPI,TXN929089,,,,COMPLETED,,2024-06-28,2024-06-28
883afb7a-932c-4c04-a261-d025bcd91e82,PAY-2024-0019,7865188e-8b7d-491c-90b0-ffdd5d703d52,97d27eb2-1514-46fb-895a-29f2d66d5876,3851.52,2024-03-25,UPI,TXN636862,,,,PENDING,,2024-03-25,2024-03-25
5df1ff8e-2d85-4c0e-8ee6-81247dce47a3,PAY-2024-0020,672f6872-5e9a-4153-9cf7-9bad9ee0eff3,332d0879-f877-4f14-9599-c89cde33bf45,4435.39,2024-06-06,UPI,TXN860558,,,,COMPLETED,,2024-06-06,2024-06-06
e126d49b-3d60-4063-84a5-8c4e7a6529d1,PAY-2024-0021,cbdda1a1-3a43-475c-a2f8-6dce82d99f2f,779afd54-b53e-49e0-a0ae-09bc1f496474,6966.72,2024-10-31,UPI,TXN709196,,,,COMPLETED,,2024-10-31,2024-10-31
57dd00f7-1632-47ad-ae8b-a3ff4715ba46,PAY-2024-0022,ebecfffa-f6cf-46ab-98b0-2cba276c61e7,6551cfcd-d767-45e8-8562-629f95de4b2c,2924.36,2024-03-04,UPI,TXN730840,,,,COMPLETED,,2024-03-04,2024-03-04
edcb8465-bc1e-4ed6-b0fc-36c62c6d4b76,PAY-2024-0023,3021fc48-2b92-41d2-ae1b-1fdcd120a039,1250596d-16c0-40a5-9f54-21e6af15f643,943.62,2024-09-24,CHEQUE,TXN717512,ICICI Bank,,,COMPLETED,,2024-09-24,2024-09-24
09270727-2811-458c-a5d5-633482efe2b8,PAY-2024-0024,2505c043-13e5-425f-a34f-ad854ef43c6b,be3aea01-43bd-4eef-aa17-17f66749c907,6771.88,2024-08-02,NEFT,TXN201118,State Bank of India,,,COMPLETED,,2024-08-02,2024-08-02
8ac78e64-626c-42cf-8535-fb352924d4a1,PAY-2024-0025,76fd9001-d837-4dd4-9c5d-fae3eabe879a,842a8bb4-be18-42ec-833a-c3f572f07ee4,1951.94,2024-09-19,CHEQUE,TXN898936,Yes Bank,,,COMPLETED,,2024-09-19,2024-09-19
ad082518-0663-492b-bac0-eaf043c10d29,PAY-2024-0026,7114cd1c-d765-471a-bbf0-5660d28756dc,36ce629e-739d-4464-9257-97639eb5930e,1887.24,2024-06-09,UPI,TXN546335,,,,COMPLETED,,2024-06-09,2024-06-09
58c565d2-21e7-48cf-9101-6fbefe776354,PAY-2024-0027,76fd9001-d837-4dd4-9c5d-fae3eabe879a,d4d65667-2844-49bd-8353-8f4e39297e28,4013.96,2024-09-28,UPI,TXN416324,,,,COMPLETED,,2024-09-28,2024-09-28
26d98db6-e148-4989-8788-0b90ad44c68e,PAY-2024-0028,7865188e-8b7d-491c-90b0-ffdd5d703d52,671afc96-68f6-4191-9d30-56d44965b58d,1011.44,2024-04-03,CHEQUE,TXN949610,Axis Bank,,,COMPLETED,,2024-04-03,2024-04-03
6ba1176c-7909-4345-9937-292d005609a3,PAY-2024-0029,9580c8f6-6df1-4dd7-b0aa-6bfc58b89c5c,a4f97ea8-572c-4e9d-af03-93381e1b3dc0,2848.79,2024-03-12,NEFT,TXN246601,Bank of Baroda,,,COMPLETED,,2024-03-12,2024-03-12
33a4a9f8-1b52-4e75-9592-3151ac6adee2,PAY-2024-0030,493470d1-7f49-4d7f-88c7-30d85187f126,49b05c59-0a4f-4017-af61-66a6577c5b29,7178.24,2024-09-20,CASH,,,0de98ea1-d767-49c6-97d0-d792e515bae7,,BOUNCED,,2024-09-20,2024-09-20
5860bf4b-6e15-4f14-ad56-ca0d1d2b55b1,PAY-2024-0031,7865188e-8b7d-491c-90b0-ffdd5d703d52,7ffebd64-4bf7-4e32-8ca9-3b9675e5f841,3001.92,2024-05-22,CHEQUE,TXN333785,Punjab National Bank,,,COMPLETED,,2024-05-22,2024-05-22
3093c638-a272-4744-aa92-ad1c8b20636e,PAY-2024-0032,68f1b083-a966-45d7-9568-8fe0199280cf,58a9587c-9e81-46a4-ab9a-54d1ae2651cf,4078.08,2024-03-14,UPI,TXN599527,,,,COMPLETED,,2024-03-14,2024-03-14
e9b445c4-1401-480e-b3b4-f5b94c55c2ae,PAY-2024-0033,9580c8f6-6df1-4dd7-b0aa-6bfc58b89c5c,43c5e95b-ef3b-4c51-a794-14c3040ae738,2978.06,2024-07-19,NEFT,TXN537865,HDFC Bank,,,BOUNCED,,2024-07-19,2024-07-19
eb15d367-27f6-453f-af5a-116d61497884,PAY-2024-0034,baabea0b-282b-41ac-8a02-f2c72a0ee4ce,85387c99-84a8-47e6-b84a-634a66ca1f34,4773.62,2024-04-10,UPI,TXN272581,,,,COMPLETED,,2024-04-10,2024-04-10
f0040487-16dc-40d8-8624-eb2bec491173,PAY-2024-0035,baabea0b-282b-41ac-8a02-f2c72a0ee4ce,85387c99-84a8-47e6-b84a-634a66ca1f34,0.0,2024-03-27,CASH,,,92522288-0375-4a48-a9b2-822815269255,,COMPLETED,,2024-03-27,2024-03-27
860fde3a-44b8-4d25-9c5a-b1c7c358c4f5,PAY-2024-0036,5881aaf5-037c-4728-9071-8b104e5413dc,2cdc81e3-977f-480a-8721-b3daacdd49f0,4927.68,2024-06-28,CASH,,,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,,COMPLETED,,2024-06-28,2024-06-28
7ca90365-9140-4655-a53e-485eea3c1d60,PAY-2024-0037,5881aaf5-037c-4728-9071-8b104e5413dc,2cdc81e3-977f-480a-8721-b3daacdd49f0,0.0,2024-06-22,CASH,,,fe0888ac-3ea5-4fba-846c-2294c69f1659,,COMPLETED,,2024-06-22,2024-06-22
95f79249-3757-4e15-871d-194b3424dba3,PAY-2024-0038,3ea93ee6-b253-4e80-95fc-b60b17ab090e,094701e3-904f-4c84-b678-f0ac8421293d,4984.32,2024-09-09,CHEQUE,TXN856293,Punjab National Bank,,,PENDING,,2024-09-09,2024-09-09
a98d9353-cf65-4da5-89bd-27bfb5837376,PAY-2024-0039,3ea93ee6-b253-4e80-95fc-b60b17ab090e,094701e3-904f-4c84-b678-f0ac8421293d,0.0,2024-09-25,CASH,,,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,,COMPLETED,,2024-09-25,2024-09-25
da0694a5-10a6-4aa5-bb4b-73d73f0c2cee,PAY-2024-0040,412af8cf-f49a-46c9-86fd-ee8fc3a1512e,11e801ea-0089-43f1-9a25-60eef14cf9b7,1019.52,2024-11-12,UPI,TXN975499,,,,COMPLETED,,2024-11-12,2024-11-12
17d52846-f666-4d17-9952-7bb92336a9bd,PAY-2025-0041,b2ef95e6-8719-44a0-917a-1043a02ce2b0,60475446-fd2b-45d9-9978-b0a3c57708bd,962.88,2025-01-01,CASH,,,c361d450-2f4c-46b8-a441-3f819e888d3b,,COMPLETED,,2025-01-01,2025-01-01
f9d3aaef-e896-457f-9451-5cb2531de889,PAY-2024-0042,68f1b083-a966-45d7-9568-8fe0199280cf,2a46e2b9-996d-4f04-9f7a-50b616f7b80f,1281.21,2024-05-06,CASH,,,c361d450-2f4c-46b8-a441-3f819e888d3b,,COMPLETED,,2024-05-06,2024-05-06
2f39989c-4326-4dd1-815e-8722d9f21de7,PAY-2024-0043,d57aa585-6d50-45b9-b7c3-5ddc5266ff65,59235e2d-1513-45cf-a762-1c9b0c8f81c9,5772.74,2024-05-07,CASH,,,0de98ea1-d767-49c6-97d0-d792e515bae7,,COMPLETED,,2024-05-07,2024-05-07
7f2b03eb-47d8-4a48-817b-de2dca58099f,PAY-2024-0044,524e5021-ef84-4ef8-8dd2-373b17b61207,000d4248-40e1-4d94-a1b8-03f05e70bd2a,6605.36,2024-04-10,CASH,,,fe0888ac-3ea5-4fba-846c-2294c69f1659,,COMPLETED,,2024-04-10,2024-04-10
dadd7923-449f-4895-8eb5-90e7d63347b2,PAY-2024-0045,256796f6-3eaf-4043-91bf-faa41d78325a,a4b0c47f-d291-4e31-a177-f1ba1aa464df,2945.28,2024-03-11,CASH,,,fe0888ac-3ea5-4fba-846c-2294c69f1659,,COMPLETED,,2024-03-11,2024-03-11
9badbea0-51c1-4744-8aef-ca8962df348a,PAY-2024-0046,2566205d-339c-4157-a1f7-c907482ec0a3,ab02fc10-ff6f-4608-9dd9-14020e86dcb3,1903.45,2024-09-19,UPI,TXN940829,,,,COMPLETED,,2024-09-19,2024-09-19
48ff0671-6821-447c-af73-7cf2a42fd3c9,PAY-2024-0047,2505c043-13e5-425f-a34f-ad854ef43c6b,7fe9d41d-0aa7-4dd8-b016-85ab8e33c9a4,5611.24,2024-12-26,CASH,,,c361d450-2f4c-46b8-a441-3f819e888d3b,,COMPLETED,,2024-12-26,2024-12-26
9649ade1-c5dc-4562-813e-dcec7ee7ff55,PAY-2024-0048,fd656c0c-f9a1-4da7-a4c7-8f457f619af2,3f5f7c0f-15a4-432a-9f2d-8cb5b1c483ac,2997.38,2024-06-29,UPI,TXN791346,,,,COMPLETED,,2024-06-29,2024-06-29
9c266c58-737a-41bc-9913-9bb61ed9f559,PAY-2024-0049,256796f6-3eaf-4043-91bf-faa41d78325a,41496131-3cb2-4537-bbd7-e6ff7999d8ae,2038.36,2024-05-25,UPI,TXN772966,,,,COMPLETED,,2024-05-25,2024-05-25
7938d022-f517-4a46-839a-f7a677814ead,PAY-2024-0050,cbdda1a1-3a43-475c-a2f8-6dce82d99f2f,1000d409-83ea-4700-8cdc-a66630569f48,2914.38,2024-07-28,CASH,,,fe0888ac-3ea5-4fba-846c-2294c69f1659,,COMPLETED,,2024-07-28,2024-07-28
b5842a0c-e5a3-4d16-9510-d11dc05efa90,PAY-2024-0051,766f55c6-bd8d-414d-b481-b315180fd94a,5278e8ca-1c66-4cfb-a14c-33fca1de070b,7929.6,2024-04-25,CASH,,,92522288-0375-4a48-a9b2-822815269255,,COMPLETED,,2024-04-25,2024-04-25
50e2fa04-d4a5-4197-9427-ab93a3349149,PAY-2024-0052,766f55c6-bd8d-414d-b481-b315180fd94a,5278e8ca-1c66-4cfb-a14c-33fca1de070b,0.0,2024-04-30,CHEQUE,TXN867599,Yes Bank,,,COMPLETED,,2024-04-30,2024-04-30
f16a7c97-873d-4f9d-90ef-32ce2fed723b,PAY-2024-0053,4260ce4c-5209-476c-afb1-655f9e02133d,29ac4e06-3c9c-4367-a5fc-44016b952e90,4773.62,2024-12-24,CASH,,,92522288-0375-4a48-a9b2-822815269255,,COMPLETED,,2024-12-24,2024-12-24
094bf45a-203c-418d-b622-d655a2d7a5c5,PAY-2024-0054,2505c043-13e5-425f-a34f-ad854ef43c6b,d2f85fd4-064d-4e14-bd0c-6e56e70f79b2,1925.76,2024-03-23,UPI,TXN540135,,,,COMPLETED,,2024-03-23,2024-03-23
d37a4dd3-6994-4c8f-b863-0e182e95e4a3,PAY-2024-0055,2505c043-13e5-425f-a34f-ad854ef43c6b,d2f85fd4-064d-4e14-bd0c-6e56e70f79b2,0.0,2024-03-29,CASH,,,0de98ea1-d767-49c6-97d0-d792e515bae7,,COMPLETED,,2024-03-29,2024-03-29
e63e21d3-baec-4155-96ac-1e42dfed5391,PAY-2024-0056,baabea0b-282b-41ac-8a02-f2c72a0ee4ce,1fd2b0f9-5e85-4db6-a19e-dfe6c257fbbc,2023.42,2024-03-31,UPI,TXN154017,,,,PENDING,,2024-03-31,2024-03-31
4064006d-3e13-427e-bdad-11d8f103f9ba,PAY-2024-0057,4260ce4c-5209-476c-afb1-655f9e02133d,31c49704-2301-4bc4-9456-296b9b5302a6,3710.06,2024-03-15,CHEQUE,TXN554547,Kotak Mahindra Bank,,,COMPLETED,,2024-03-15,2024-03-15
677d812a-47ae-416c-94b2-441b3425db5f,PAY-2024-0058,3ea93ee6-b253-4e80-95fc-b60b17ab090e,8c045f1c-4fc2-43e7-a18e-960eecbd18b5,3941.02,2024-09-05,UPI,TXN490107,,,,COMPLETED,,2024-09-05,2024-09-05
2d12cf27-cadd-4b3f-8bc1-8c58333cd1ee,PAY-2024-0059,8964dfde-f9d0-4250-91ce-6b245cb1ce68,dc9320c7-d364-48d7-a85c-13805a95d7ca,3979.25,2024-03-23,UPI,TXN585603,,,,COMPLETED,,2024-03-23,2024-03-23
72b5a7c5-85bc-4dd4-acd1-5dce8c97ce8d,PAY-2024-0060,412af8cf-f49a-46c9-86fd-ee8fc3a1512e,44b1bd2d-dc35-46e4-a6d7-1f5b96c8bd1f,2112.94,2024-12-30,UPI,TXN304440,,,,COMPLETED,,2024-12-30,2024-12-30
88e183b2-1d3e-4ecc-b962-ff5446073d2e,PAY-2024-0061,2566205d-339c-4157-a1f7-c907482ec0a3,cdea1673-9f25-4b5b-99b1-4c2b4733d53d,2039.04,2024-07-08,NEFT,TXN616585,Kotak Mahindra Bank,,,COMPLETED,,2024-07-08,2024-07-08
f1413c44-28ee-446f-acca-82749a8b3683,PAY-2024-0062,d175149d-f407-43df-900f-8f974386b491,735fd4e1-0f3e-4421-a135-87d0c83d3de7,525.51,2024-10-11,NEFT,TXN613233,State Bank of India,,,COMPLETED,,2024-10-11,2024-10-11
364cf31c-866c-40e8-9a4c-0eb4eb2f34d0,PAY-2024-0063,d175149d-f407-43df-900f-8f974386b491,735fd4e1-0f3e-4421-a135-87d0c83d3de7,2533.05,2024-10-01,UPI,TXN544484,,,,COMPLETED,,2024-10-01,2024-10-01
15bcd602-6ca3-4f3a-91dc-73fe9a901247,PAY-2024-0064,f3add840-d8ad-457e-a501-c460549a2a61,6eeebdfa-84c4-4104-b7b7-5c3d5253798d,4021.44,2024-04-01,UPI,TXN988885,,,,COMPLETED,,2024-04-01,2024-04-01
34caa60e-0adf-4058-8d74-34f781c547c1,PAY-2024-0065,f3add840-d8ad-457e-a501-c460549a2a61,6eeebdfa-84c4-4104-b7b7-5c3d5253798d,0.0,2024-04-13,CHEQUE,TXN330072,Yes Bank,,,COMPLETED,,2024-04-13,2024-04-13
b849ae99-d7f0-4cb1-8bbf-089ef207e285,PAY-2025-0066,f3add840-d8ad-457e-a501-c460549a2a61,5c874939-f11a-4da6-8627-0a6130e4b7ba,3804.96,2025-01-16,CHEQUE,TXN400775,Kotak Mahindra Bank,,,COMPLETED,,2025-01-16,2025-01-16
e37653bf-5ca0-4778-a462-4bfb1e0553ef,PAY-2024-0067,587fe5f4-a612-4ee8-8f98-b53fbc7c5b51,35952d62-d228-437b-bd34-de9063fafc5f,943.62,2024-09-05,CASH,,,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,,COMPLETED,,2024-09-05,2024-09-05
61d1d1f0-0816-46f4-bd63-b1c8ec0718ac,PAY-2024-0068,8964dfde-f9d0-4250-91ce-6b245cb1ce68,621dd5d4-8679-4313-8c3f-4e14b1674088,1019.52,2024-11-04,UPI,TXN636034,,,,COMPLETED,,2024-11-04,2024-11-04
c6da7113-9387-4ad7-988e-f7da0c6a1300,PAY-2024-0069,8964dfde-f9d0-4250-91ce-6b245cb1ce68,621dd5d4-8679-4313-8c3f-4e14b1674088,0.0,2024-11-01,UPI,TXN108083,,,,COMPLETED,,2024-11-01,2024-11-01
55eb5af5-dee2-4f2d-a7b1-00227aafece7,PAY-2024-0070,fd656c0c-f9a1-4da7-a4c7-8f457f619af2,49d3d247-4c85-4f6a-9a18-427175f51917,1925.76,2024-06-06,NEFT,TXN522219,Yes Bank,,,COMPLETED,,2024-06-06,2024-06-06
d235fbfa-fc7e-4440-9f28-829285d75f68,PAY-2024-0071,fd656c0c-f9a1-4da7-a4c7-8f457f619af2,f5f62702-f309-4d04-bbdf-3a3dc5d5fd33,962.88,2024-12-08,UPI,TXN873732,,,,COMPLETED,,2024-12-08,2024-12-08
cb2fc170-56e8-4690-8322-d0c255973ff2,PAY-2024-0072,fd656c0c-f9a1-4da7-a4c7-8f457f619af2,302da5b2-edd5-4de2-9874-c5502a224355,3001.92,2024-11-05,CASH,,,0de98ea1-d767-49c6-97d0-d792e515bae7,,COMPLETED,,2024-11-05,2024-11-05
17b8756f-3d1c-4e79-8c64-5cb31f6ff13c,PAY-2024-0073,fd656c0c-f9a1-4da7-a4c7-8f457f619af2,302da5b2-edd5-4de2-9874-c5502a224355,0.0,2024-11-02,CASH,,,0de98ea1-d767-49c6-97d0-d792e515bae7,,COMPLETED,,2024-11-02,2024-11-02
1bd2b71f-54f8-4c2d-b89d-a4f45618fa28,PAY-2024-0074,524e5021-ef84-4ef8-8dd2-373b17b61207,8f8c9c63-4557-42f8-8d67-646beb84b69b,4078.08,2024-05-22,CASH,,,fe0888ac-3ea5-4fba-846c-2294c69f1659,,COMPLETED,,2024-05-22,2024-05-22
0f8d607d-db9a-4500-bd74-ae3c8e141123,PAY-2024-0075,2566205d-339c-4157-a1f7-c907482ec0a3,a02cf44c-08ba-427e-9c55-df656d271327,4884.64,2024-12-17,CASH,,,c361d450-2f4c-46b8-a441-3f819e888d3b,,COMPLETED,,2024-12-17,2024-12-17
db7e160c-f9b7-473a-be60-39fc3b0a2761,PAY-2025-0076,8964dfde-f9d0-4250-91ce-6b245cb1ce68,5d4fc5d6-f498-4d8c-9045-f0987c3b329a,943.62,2025-01-20,CASH,,,92522288-0375-4a48-a9b2-822815269255,,COMPLETED,,2025-01-20,2025-01-20
bd2a7c9a-e587-488a-be59-21eb6c483198,PAY-2025-0077,8964dfde-f9d0-4250-91ce-6b245cb1ce68,5d4fc5d6-f498-4d8c-9045-f0987c3b329a,0.0,2025-01-08,NEFT,TXN430511,Axis Bank,,,COMPLETED,,2025-01-08,2025-01-08
57d10456-dccb-48cc-8f32-88a91d22907f,PAY-2024-0078,766f55c6-bd8d-414d-b481-b315180fd94a,ade42e1d-000e-4f0f-a4e7-a9dd7c666264,1921.67,2024-10-22,NEFT,TXN258011,Kotak Mahindra Bank,,,COMPLETED,,2024-10-22,2024-10-22
a064cc58-6fc3-43d2-af07-cdc4cea01a59,PAY-2024-0079,766f55c6-bd8d-414d-b481-b315180fd94a,ade42e1d-000e-4f0f-a4e7-a9dd7c666264,0.0,2024-10-31,CASH,,,0de98ea1-d767-49c6-97d0-d792e515bae7,,COMPLETED,,2024-10-31,2024-10-31
8901c784-b111-4235-aa1c-1fb668af4c8b,PAY-2024-0080,115804b5-d9c6-401e-a450-d16354ecaf2d,074d6a8b-7be3-49e2-8602-4e29e3262bb2,2878.58,2024-06-26,CASH,,,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,,COMPLETED,,2024-06-26,2024-06-26
e2b0a4e2-8e66-4af0-8e40-09045a8efaa9,PAY-2024-0081,7114cd1c-d765-471a-bbf0-5660d28756dc,2934535a-b3f5-4651-8576-fe7afa15a44d,2856.38,2024-08-10,CASH,,,92522288-0375-4a48-a9b2-822815269255,,COMPLETED,,2024-08-10,2024-08-10
11ca6957-864c-4022-938c-61327bea6465,PAY-2024-0082,76fd9001-d837-4dd4-9c5d-fae3eabe879a,a71a4d39-0c9f-4198-b158-6a98bf647a51,3058.56,2024-12-25,UPI,TXN549393,,,,COMPLETED,,2024-12-25,2024-12-25
1fb28293-6a84-4e6c-a577-4dab9d03e78e,PAY-2024-0083,ebecfffa-f6cf-46ab-98b0-2cba276c61e7,87bcb14b-8fb1-4ca2-8f9f-6c0bcdf14f46,3661.19,2024-06-25,UPI,TXN978644,,,,COMPLETED,,2024-06-25,2024-06-25
30017758-b34c-462e-9e35-5e62c119b52d,PAY-2024-0084,ebecfffa-f6cf-46ab-98b0-2cba276c61e7,87bcb14b-8fb1-4ca2-8f9f-6c0bcdf14f46,0.0,2024-06-25,UPI,TXN893597,,,,COMPLETED,,2024-06-25,2024-06-25
7c1f9f5f-72af-4570-a603-0ef71ed04215,PAY-2024-0085,34d40fdb-61b7-4fcd-8fd7-b6266b662296,2ebdd198-20e2-43d2-83a5-8172906cdb69,3860.55,2024-10-07,CASH,,,fe0888ac-3ea5-4fba-846c-2294c69f1659,,COMPLETED,,2024-10-07,2024-10-07
9ffbc502-b290-454f-b2c4-4a493f56a680,PAY-2024-0086,524e5021-ef84-4ef8-8dd2-373b17b61207,bda84d2a-151e-49c0-a470-98d19f0875d5,1982.4,2024-04-12,UPI,TXN678499,,,,COMPLETED,,2024-04-12,2024-04-12
535ad507-f338-4bfb-a142-72de3d828cf9,PAY-2024-0087,524e5021-ef84-4ef8-8dd2-373b17b61207,bda84d2a-151e-49c0-a470-98d19f0875d5,0.0,2024-04-11,CASH,,,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,,COMPLETED,,2024-04-11,2024-04-11
f2904a00-6d82-427c-8646-cadcb99112b4,PAY-2025-0088,672f6872-5e9a-4153-9cf7-9bad9ee0eff3,68fd371f-44ec-4620-835a-26391832db6a,5654.64,2025-01-31,CHEQUE,TXN207475,Kotak Mahindra Bank,,,COMPLETED,,2025-01-31,2025-01-31
dc3d982d-dc2e-41e6-b8e8-1b5b3b1ce9bc,PAY-2025-0089,672f6872-5e9a-4153-9cf7-9bad9ee0eff3,68fd371f-44ec-4620-835a-26391832db6a,235.92,2025-01-27,CASH,,,0de98ea1-d767-49c6-97d0-d792e515bae7,,COMPLETED,,2025-01-27,2025-01-27
b4ecf76b-6505-4b4b-b970-e6f046a0d563,PAY-2024-0090,587fe5f4-a612-4ee8-8f98-b53fbc7c5b51,da430bc1-9eff-47dc-9244-74984dc332e9,2888.64,2024-11-04,UPI,TXN745603,,,,COMPLETED,,2024-11-04,2024-11-04
9dce68a8-1c65-4d3a-b537-ae57d0b2c2af,PAY-2024-0091,0065fc9e-691f-412d-a732-28b741dbb336,40c61c65-35f4-4c7c-ab76-5001ddf75f59,2039.04,2024-06-11,CASH,,,92522288-0375-4a48-a9b2-822815269255,,COMPLETED,,2024-06-11,2024-06-11
6d93e9de-6728-4157-8464-17bd6461e2fe,PAY-2025-0092,cbdda1a1-3a43-475c-a2f8-6dce82d99f2f,a4fccd01-116e-4fee-9299-ee21e3083bd9,3964.8,2025-02-08,CASH,,,f3a3c673-f426-4fec-b8f9-d1907e18ccd4,,COMPLETED,,2025-02-08,2025-02-08
e2c32cc9-c10c-449a-abd5-66235f0f30d0,PAY-2025-0093,d57aa585-6d50-45b9-b7c3-5ddc5266ff65,a7cb7bf2-fc20-492a-808a-2aa6b21c7a00,2945.28,2025-01-20,CASH,,,fe0888ac-3ea5-4fba-846c-2294c69f1659,,COMPLETED,,2025-01-20,2025-01-20
